taxon_id,disease,p_value,auc,auc_effect,mean_health,mean_disease,effect_direction,n_health,n_disease
28118,D015212,0.0039929256760273205,0.43927333333333335,0.06072666666666665,0.0042960325849556915,0.003378701821806593,decreased,500,300
28123,D015212,1.0034161137408479e-09,0.6288666666666666,0.12886666666666657,0.00440653364253026,0.006756117617641541,increased,500,300
28124,D015212,0.06536219988710233,0.4611266666666667,0.038873333333333315,0.004275924505167828,0.0036231118067455922,decreased,500,300
28126,D015212,1.7161363154491284e-45,0.20138000000000003,0.29862,0.004536870228769186,0.0010758429464319081,decreased,500,300
28131,D015212,1.6836381478551692e-16,0.67388,0.17388000000000003,0.004725689128504567,0.010656078168592457,increased,500,300
28133,D015212,1.382128139202591e-08,0.6197266666666665,0.11972666666666654,0.00431848710206966,0.0074260432215837585,increased,500,300
28135,D015212,0.15434558496594916,0.46995333333333333,0.030046666666666666,0.004289301647512313,0.003782362145538016,decreased,500,300
28137,D015212,4.9400811436697605e-54,0.17350666666666664,0.32649333333333336,0.004761302008962434,0.0010545075052630591,decreased,500,300
29348,D015212,0.001004570900892184,0.43061333333333335,0.06938666666666665,0.004574660133363416,0.003459421394361371,decreased,500,300
29361,D015212,9.394322293304297e-14,0.6571400000000001,0.15714000000000006,0.004284652171391905,0.007654957100139601,increased,500,300
29385,D015212,0.0004229745592408381,0.4256333333333333,0.07436666666666669,0.005035975983415667,0.003561581592760163,decreased,500,300
29466,D015212,3.865186639012604e-47,0.19580666666666668,0.3041933333333333,0.00448286196103752,0.0010735173789873098,decreased,500,300
33038,D015212,0.021932445575212935,0.45165999999999995,0.04834000000000005,0.004478032010462739,0.0037907352542087954,decreased,500,300
33039,D015212,8.376450149894543e-10,0.6294733333333333,0.12947333333333333,0.004562908289664677,0.007600560177133186,increased,500,300
33043,D015212,0.001931463632064068,0.4345933333333333,0.06540666666666672,0.004570153796648057,0.003531200491758996,decreased,500,300
33970,D015212,8.714106454102327e-55,0.17116,0.32884,0.004834439197391919,0.001057318410076181,decreased,500,300
34059,D015212,1.386031127507249e-20,0.6962133333333334,0.19621333333333335,0.004591109973046356,0.01060261345970032,increased,500,300
35701,D015212,1.068439216975326e-07,0.6121133333333333,0.11211333333333329,0.004452514569414747,0.007256159428008209,increased,500,300
37734,D015212,0.015285941974286073,0.44883333333333336,0.05116666666666664,0.004136088782400326,0.003392094625062186,decreased,500,300
37915,D015212,6.783304431552663e-47,0.1966266666666667,0.3033733333333333,0.004543966216262887,0.0011258657856389506,decreased,500,300
38284,D015212,0.00011681032024013942,0.4187266666666667,0.08127333333333331,0.004564138652029528,0.0032114588492442617,decreased,500,300
38304,D015212,1.3486841205326468e-05,0.5918066666666666,0.09180666666666659,0.0048988985514301685,0.007542933266511695,increased,500,300
39483,D015212,0.9705045037689867,0.50078,0.0007800000000000029,0.004370586610358088,0.003788718613275839,decreased,500,300
39485,D015212,5.834154383001515e-45,0.2032,0.2968,0.004331383417285777,0.0010986896926720357,decreased,500,300
39486,D015212,0.0051701603966918235,0.4410133333333333,0.05898666666666669,0.004669206942304227,0.003590487702842169,decreased,500,300
39488,D015212,1.8504564798400412e-05,0.5903333333333334,0.09033333333333338,0.004817059755453815,0.006777561159269886,increased,500,300
39490,D015212,0.0029017991116677437,0.43718,0.06281999999999999,0.004633692624441611,0.003593987415008315,decreased,500,300
39491,D015212,2.112098096770258e-49,0.18831333333333333,0.31168666666666667,0.004655056619631006,0.0010647842710695835,decreased,500,300
39492,D015212,1.934196200965373e-24,0.71522,0.21521999999999997,0.004743883446071266,0.011879308941226838,increased,500,300
