run_id,relative_abundance,phenotype,ncbi_taxon_id
SRR5396504,0.0263736,D015212,550
ERR1090618,0.0155723,D015212,550
ERR2032784,0.00392727,D015212,550
ERR1160721,0.000719238,D015212,550
ERR1090070,0.00309741,D015212,550
ERR1089747,0.00619502,D015212,550
ERR1090056,0.00479099,D015212,550
ERR1090119,0.00498629,D015212,550
ERR1090866,0.00258224,D015212,550
ERR1090891,0.00244176,D015212,550
ERR1091076,0.00356983,D015212,550
ERR1091106,0.00286878,D015212,550
ERR1091310,0.00283676,D015212,550
ERR1091418,0.00343536,D015212,550
ERR1091433,0.00236102,D015212,550
ERR1091803,0.00255389,D015212,550
SRR3400417,0.69409,D015212,89014
SRR3400418,0.59457,D015212,89014
SRR3400419,0.693214,D015212,89014
SRR3400420,1.75798,D015212,89014
SRR3400421,2.36229,D015212,89014
SRR3400422,0.719599,D015212,89014
SRR3400423,1.3082,D015212,89014
SRR3400424,1.55251,D015212,89014
SRR3400425,0.923366,D015212,89014
SRR3400426,1.01619,D015212,89014
SRR3400428,0.824714,D015212,89014
SRR3400429,0.955129,D015212,89014
SRR3400430,0.567142,D015212,89014
SRR3400431,0.794604,D015212,89014
SRR3400432,0.502356,D015212,89014
SRR3400433,1.13068,D015212,89014
SRR3400434,0.666938,D015212,89014
SRR3400435,0.652584,D015212,89014
SRR3400436,0.517913,D015212,89014
SRR3400437,0.625832,D015212,89014
SRR3400439,0.63177,D015212,89014
SRR3400440,0.902185,D015212,89014
SRR3400441,1.02254,D015212,89014
SRR3400442,0.366481,D015212,89014
SRR3400443,0.163522,D015212,89014
SRR3400444,0.754908,D015212,89014
SRR3400445,0.58565,D015212,89014
SRR3400446,0.816025,D015212,89014
SRR3400447,1.32759,D015212,89014
SRR3400448,0.586705,D015212,89014
SRR3400450,0.610824,D015212,89014
SRR3400451,0.654534,D015212,89014
SRR3400452,0.33331,D015212,89014
SRR3400453,0.737565,D015212,89014
SRR3400454,0.278796,D015212,89014
SRR3400455,1.0139,D015212,89014
SRR3400456,0.629977,D015212,89014
SRR3400465,0.953596,D015212,89014
SRR3400466,1.77886,D015212,89014
SRR3400467,1.48312,D015212,89014
SRR5396455,0.101055,D015212,89014
SRR5396459,1.11475,D015212,89014
SRR5396464,0.114033,D015212,89014
SRR5396469,1.01165,D015212,89014
SRR5396474,0.390122,D015212,89014
SRR5396479,0.00355695,D015212,89014
SRR5396484,0.377783,D015212,89014
SRR5396489,0.120007,D015212,89014
SRR5396499,0.614767,D015212,89014
SRR5396516,0.424498,D015212,89014
SRR5396517,0.164213,D015212,89014
SRR5396522,0.628269,D015212,89014
SRR5396528,0.412119,D015212,89014
SRR5396543,0.184038,D015212,89014
SRR5396544,0.11795,D015212,89014
SRR5396549,0.0586104,D015212,89014
